v,h
9.514567,46m
9.418672,46m
9.08686,46m
9.141742,46m
8.364555,46m
8.960058,46m
9.320904,46m
9.576384,46m
10.74469,46m
10.73901,46m
11.16734,46m
11.28594,46m
11.00774,46m
9.527181,46m
11.29351,46m
10.30374,46m
11.13517,46m
10.84751,46m
9.954248,46m
9.756173,46m
10.17441,46m
9.61612,46m
10.38322,46m
11.21655,46m
10.85887,46m
9.556821,46m
10.08861,46m
10.28354,46m
8.242806,46m
7.024667,46m
7.231585,46m
6.05697,46m
6.617147,46m
7.124969,46m
6.930673,46m
6.508646,46m
6.380591,46m
6.605797,46m
6.670138,46m
7.07766,46m
6.995654,46m
6.945816,46m
7.039175,46m
7.63342,46m
7.107303,46m
6.694746,46m
7.335665,46m
7.629635,46m
7.448587,46m
7.083336,46m
7.50977,46m
7.214544,46m
7.493376,46m
7.140111,46m
6.489092,46m
6.915532,46m
7.374145,46m
7.387403,46m
7.119925,46m
7.643518,46m
7.530593,46m
6.609579,46m
6.694742,46m
6.766031,46m
6.226667,46m
6.300475,46m
6.48152,46m
6.588128,46m
6.463225,46m
6.687171,46m
6.536407,46m
6.13835,46m
6.265779,46m
5.891065,46m
5.87151,46m
6.05319,46m
6.435468,46m
6.218463,46m
6.291641,46m
6.26073,46m
6.120686,46m
5.954316,46m
6.399513,46m
6.545866,46m
6.629769,46m
7.029718,46m
6.697896,46m
6.832898,46m
6.557222,46m
6.98114,46m
7.198779,46m
7.121817,46m
7.230949,46m
7.232212,46m
7.529334,46m
7.449213,46m
8.080052,46m
8.304632,46m
8.194857,46m
8.271193,46m
8.751262,46m
9.375782,46m
9.045225,46m
8.871119,46m
8.747473,46m
8.789104,46m
9.093789,46m
9.420569,46m
8.837057,46m
8.28444,46m
7.785448,46m
8.155739,46m
8.005605,46m
7.60314,46m
7.453001,46m
7.04107,46m
6.829745,46m
7.341981,46m
7.386764,46m
7.589891,46m
7.505992,46m
7.277634,46m
7.14831,46m
7.104154,46m
7.150207,46m
7.33378,46m
6.943289,46m
6.676453,46m
6.98178,46m
6.018492,46m
5.525808,46m
5.232468,46m
5.087379,46m
5.195252,46m
5.551044,46m
5.604034,46m
5.041957,46m
4.712036,46m
4.59028,46m
4.171404,46m
4.290001,46m
4.282429,46m
4.359394,46m
3.865447,46m
4.196634,46m
3.723508,46m
4.353714,46m
4.539814,46m
4.264139,46m
4.177713,46m
4.889928,46m
4.810437,46m
4.46411,46m
4.770065,46m
4.346778,46m
4.049018,46m
3.966379,46m
4.094449,46m
3.957551,46m
3.961965,46m
3.888159,46m
3.600495,46m
3.836426,46m
3.637715,46m
4.48241,46m
4.708251,46m
4.466003,46m
3.814977,46m
4.582081,46m
4.64137,46m
4.398506,46m
4.473577,46m
3.971428,46m
4.345504,46m
4.606682,46m
4.70825,46m
4.418684,46m
4.701308,46m
4.753033,46m
4.972569,46m
4.857122,46m
4.968158,46m
4.975719,46m
4.859646,46m
4.684901,46m
4.852083,46m
4.854593,46m
5.221119,46m
5.124599,46m
4.751769,46m
5.581318,46m
5.686658,46m
5.593296,46m
5.69487,46m
5.798965,46m
6.245597,46m
5.797694,46m
5.399013,46m
5.554821,46m
5.005372,46m
5.247608,46m
6.485933,46m
6.819643,46m
6.195764,46m
5.998933,46m
6.157902,46m
6.186924,46m
6.373647,46m
7.11362,46m
6.99376,46m
7.160935,46m
6.834158,46m
6.217201,46m
6.005245,46m
5.719477,46m
5.893581,46m
5.147938,46m
5.786974,46m
5.094324,46m
4.792778,46m
4.765652,46m
5.991363,46m
6.07148,46m
4.064163,46m
4.324062,46m
4.854312,46m
5.344755,46m
7.530592,46m
9.099478,46m
8.361405,46m
8.457921,46m
8.056076,46m
7.888908,46m
7.130016,46m
7.189943,46m
9.486804,46m
10.52578,46m
10.0085,46m
9.978857,46m
9.959938,46m
11.37488,46m
11.08976,46m
11.26891,46m
11.1295,46m
11.13075,46m
11.90289,46m
13.34244,46m
13.8774,46m
13.54558,46m
13.88686,46m
12.89267,46m
13.28189,46m
12.55012,46m
12.40945,46m
13.97328,46m
13.46736,46m
14.16695,46m
